,WALK94,EXCERTOT,count,sedentary
1,0,0,39,TRUE
2,0,1,2,FALSE
3,0,2,5,FALSE
4,0,3,2,FALSE
5,0,4,9,FALSE
6,0,5,4,FALSE
7,0,6,4,FALSE
8,0,7,2,FALSE
9,0,9,1,FALSE
10,0,10,2,FALSE
11,0,12,2,FALSE
12,0,14,1,FALSE
13,0,16,1,FALSE
14,0,NA,1,TRUE
15,1,0,12,FALSE
16,1,1,18,FALSE
17,1,2,12,FALSE
18,1,3,11,FALSE
19,1,4,3,FALSE
20,1,5,6,FALSE
21,1,6,1,FALSE
22,1,7,1,FALSE
23,1,8,1,FALSE
24,1,14,4,FALSE
25,1,NA,3,FALSE
26,2,0,16,FALSE
27,2,1,5,FALSE
28,2,2,19,FALSE
29,2,3,8,FALSE
30,2,4,7,FALSE
31,2,5,3,FALSE
32,2,6,8,FALSE
33,2,7,3,FALSE
34,2,10,3,FALSE
35,2,12,2,FALSE
36,2,14,1,FALSE
37,2,15,1,FALSE
38,2,18,1,FALSE
39,2,NA,1,FALSE
40,3,0,5,FALSE
41,3,1,1,FALSE
42,3,2,4,FALSE
43,3,3,23,FALSE
44,3,4,4,FALSE
45,3,5,7,FALSE
46,3,7,5,FALSE
47,3,8,3,FALSE
48,3,10,1,FALSE
49,3,11,1,FALSE
50,3,12,1,FALSE
51,3,18,1,FALSE
52,3,NA,1,FALSE
53,4,0,7,FALSE
54,4,2,4,FALSE
55,4,3,3,FALSE
56,4,4,9,FALSE
57,4,6,4,FALSE
58,4,7,1,FALSE
59,4,8,3,FALSE
60,4,9,1,FALSE
61,4,10,4,FALSE
62,4,15,1,FALSE
63,4,16,1,FALSE
64,4,18,1,FALSE
65,4,NA,1,FALSE
66,5,0,4,FALSE
67,5,2,5,FALSE
68,5,3,1,FALSE
69,5,4,5,FALSE
70,5,5,7,FALSE
71,5,6,2,FALSE
72,5,7,1,FALSE
73,5,9,1,FALSE
74,5,10,3,FALSE
75,5,12,1,FALSE
76,5,18,1,FALSE
77,5,35,1,FALSE
78,5,NA,1,FALSE
79,6,0,2,FALSE
80,6,1,1,FALSE
81,6,2,3,FALSE
82,6,3,2,FALSE
83,6,5,3,FALSE
84,6,6,5,FALSE
85,6,7,3,FALSE
86,6,8,1,FALSE
87,6,10,3,FALSE
88,6,11,1,FALSE
89,6,15,1,FALSE
90,6,45,1,FALSE
91,6,NA,2,FALSE
92,7,0,1,FALSE
93,7,1,1,FALSE
94,7,3,2,FALSE
95,7,4,2,FALSE
96,7,6,2,FALSE
97,7,7,12,FALSE
98,7,10,2,FALSE
99,7,12,1,FALSE
100,7,14,1,FALSE
101,8,1,1,FALSE
102,8,5,1,FALSE
103,8,8,5,FALSE
104,8,10,1,FALSE
105,10,4,1,FALSE
106,10,6,2,FALSE
107,10,7,2,FALSE
108,10,8,1,FALSE
109,10,10,2,FALSE
110,10,20,2,FALSE
111,11,10,1,FALSE
112,12,12,3,FALSE
113,12,15,1,FALSE
114,12,27,1,FALSE
115,14,4,1,FALSE
116,15,1,1,FALSE
117,20,4,1,FALSE
118,20,20,1,FALSE
119,30,3,1,FALSE
120,NA,0,45,TRUE
121,NA,1,13,FALSE
122,NA,2,11,FALSE
123,NA,3,14,FALSE
124,NA,4,8,FALSE
125,NA,5,7,FALSE
126,NA,6,5,FALSE
127,NA,7,7,FALSE
128,NA,8,2,FALSE
129,NA,9,1,FALSE
130,NA,10,4,FALSE
131,NA,21,1,FALSE
132,NA,46,1,FALSE
133,NA,NA,101,NA
