"","SCQALCOHOL","BEHALC.DRINKSPERDAY","BEHALC.DRINKSPERWEEK","count"
"1","yes",0,0,29
"2","yes",0,NA,3
"3","yes",0.5,0,1
"4","yes",0.5,0.05999999866,3
"5","yes",0.5,0.75,3
"6","yes",0.5,1.75,1
"7","yes",0.699999988079,0.08399999887,1
"8","yes",1,0,23
"9","yes",1,0.11999999732,181
"10","yes",1,0.34999999404,152
"11","yes",1,1.5,150
"12","yes",1,3.5,47
"13","yes",1,5.5,28
"14","yes",1,6.5,45
"15","yes",1,NA,5
"16","yes",1.5,0,1
"17","yes",1.5,0.17999999225,19
"18","yes",1.5,0.52499997616,24
"19","yes",1.5,2.25,53
"20","yes",1.5,5.25,23
"21","yes",1.5,8.25,6
"22","yes",1.5,9.75,12
"23","yes",1.5,NA,1
"24","yes",2,0,20
"25","yes",2,0.23999999464,170
"26","yes",2,0.69999998808,223
"27","yes",2,3,445
"28","yes",2,7,186
"29","yes",2,11,52
"30","yes",2,13,94
"31","yes",2,NA,21
"32","yes",2.5,0,2
"33","yes",2.5,0.29999998212,11
"34","yes",2.5,0.875,26
"35","yes",2.5,3.75,77
"36","yes",2.5,8.75,38
"37","yes",2.5,13.75,23
"38","yes",2.5,16.25,22
"39","yes",3,0,8
"40","yes",3,0.3599999845,76
"41","yes",3,1.04999995232,118
"42","yes",3,4.5,321
"43","yes",3,10.5,152
"44","yes",3,16.5,55
"45","yes",3,19.5,82
"46","yes",3,NA,11
"47","yes",3.5,0.41999998689,6
"48","yes",3.5,1.22500002384,12
"49","yes",3.5,5.25,77
"50","yes",3.5,12.25,33
"51","yes",3.5,19.25,10
"52","yes",3.5,22.75,13
"53","yes",3.5,NA,1
"54","yes",4,0,4
"55","yes",4,0.47999998927,59
"56","yes",4,1.39999997616,101
"57","yes",4,6,317
"58","yes",4,14,138
"59","yes",4,22,39
"60","yes",4,26,68
"61","yes",4,NA,5
"62","yes",4.5,0,1
"63","yes",4.5,0.53999996185,1
"64","yes",4.5,1.57499992848,13
"65","yes",4.5,6.75,31
"66","yes",4.5,15.75,15
"67","yes",4.5,24.75,1
"68","yes",4.5,29.25,6
"69","yes",4.5,NA,1
"70","yes",5,0.59999996424,10
"71","yes",5,1.75,30
"72","yes",5,7.5,141
"73","yes",5,17.5,54
"74","yes",5,27.5,15
"75","yes",5,32.5,20
"76","yes",5,NA,4
"77","yes",5.5,0.65999996662,3
"78","yes",5.5,1.92499995232,5
"79","yes",5.5,8.25,17
"80","yes",5.5,19.25,1
"81","yes",5.5,30.25,3
"82","yes",5.5,35.75,3
"83","yes",5.5,NA,1
"84","yes",6,0.71999996901,13
"85","yes",6,2.09999990463,46
"86","yes",6,9,132
"87","yes",6,21,64
"88","yes",6,33,20
"89","yes",6,39,29
"90","yes",6,NA,6
"91","yes",6.5,0.77999997139,1
"92","yes",6.5,2.27499985695,3
"93","yes",6.5,9.75,8
"94","yes",6.5,35.75,1
"95","yes",6.5,42.25,2
"96","yes",7,0.83999997377,2
"97","yes",7,2.45000004768,5
"98","yes",7,10.5,30
"99","yes",7,24.5,4
"100","yes",7,45.5,2
"101","yes",7,NA,2
"102","yes",7.5,0.89999997616,1
"103","yes",7.5,2.625,1
"104","yes",7.5,11.25,1
"105","yes",7.5,26.25,2
"106","yes",8,0.95999997854,5
"107","yes",8,2.79999995232,17
"108","yes",8,12,57
"109","yes",8,28,20
"110","yes",8,44,5
"111","yes",8,52,15
"112","yes",9,3.14999985695,2
"113","yes",9,13.5,5
"114","yes",9,31.5,2
"115","yes",9,58.5,1
"116","yes",10,1.19999992848,6
"117","yes",10,3.5,9
"118","yes",10,15,35
"119","yes",10,35,9
"120","yes",10,65,7
"121","yes",10,NA,1
"122","yes",11,16.5,2
"123","yes",11,71.5,1
"124","yes",12,1.43999993801,5
"125","yes",12,4.19999980927,5
"126","yes",12,18,10
"127","yes",12,42,4
"128","yes",12,NA,4
"129","yes",13,NA,1
"130","yes",14,1.67999994755,3
"131","yes",14,21,2
"132","yes",15,5.25,1
"133","yes",15,22.5,1
"134","yes",15,52.5,2
"135","yes",15,82.5,1
"136","yes",15,97.5,1
"137","yes",16,24,3
"138","yes",16,56,2
"139","yes",16,88,1
"140","yes",16,NA,2
"141","yes",18,27,2
"142","yes",20,0,1
"143","yes",20,7,3
"144","yes",20,30,7
"145","yes",20,70,1
"146","yes",20,110,1
"147","yes",20,130,1
"148","yes",20,NA,1
"149","yes",21,7.34999990464,1
"150","yes",22,77,1
"151","yes",24,36,1
"152","yes",24,84,3
"153","yes",25,37.5,1
"154","yes",30,10.5,1
"155","yes",30,45,1
"156","yes",30,105,2
"157","yes",30,NA,1
"158","yes",35,227.5,1
"159","yes",40,60,2
"160","yes",40,140,2
"161","yes",NA,NA,390
"162","no",0,0,1803
"163","no",NA,NA,9
"164",NA,2,0.23999999464,1
"165",NA,6,9,1
"166",NA,6,NA,1
"167",NA,NA,NA,1340
