"","DN0100","DN012D01","DN012D02","DN012D03","DN012D04","DN012D05","DN012D09","DN012DNO","DN012DOT","DN012DRF","DN012DDK","count"
"1","Elementary school","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",25
"2","Elementary school","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",468
"3","Elementary school","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"4","Elementary school","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",2
"5","Elementary school","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"6","Elementary school","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",4
"7","Partial occipational secondary school (did not graduate, no","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",21
"8","Partial occipational secondary school (did not graduate, no","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",79
"9","Partial occipational secondary school (did not graduate, no","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"10","Partial occipational secondary school (did not graduate, no","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"11","full occipational secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",34
"12","full occipational secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",120
"13","full occipational secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected",1
"14","full occipational secondary school (no matriculation)","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",2
"15","full occipational secondary school (no matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",4
"16","full occipational secondary school (no matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","selected","not selected","not selected",1
"17","full occipational secondary school (no matriculation)","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",8
"18","full occipational secondary school (no matriculation)","not selected","not selected","selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"19","full occipational secondary school (no matriculation)","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",3
"20","full occipational secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected",1
"21","full occipational secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",16
"22","full occipational secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",42
"23","full occipational secondary school (with matriculation)","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",11
"24","full occipational secondary school (with matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",25
"25","full occipational secondary school (with matriculation)","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",15
"26","full occipational secondary school (with matriculation)","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",3
"27","partial Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",19
"28","partial Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",180
"29","partial Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected",1
"30","partial Academic secondary school (no matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",4
"31","partial Academic secondary school (no matriculation)","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",9
"32","partial Academic secondary school (no matriculation)","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",5
"33","partial Academic secondary school (no matriculation)","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"34","full Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",44
"35","full Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",194
"36","full Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected",2
"37","full Academic secondary school (no matriculation)","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",6
"38","full Academic secondary school (no matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",13
"39","full Academic secondary school (no matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","selected","not selected","not selected",1
"40","full Academic secondary school (no matriculation)","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",9
"41","full Academic secondary school (no matriculation)","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",4
"42","full Academic secondary school (no matriculation)","not selected","selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"43","full Academic secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",98
"44","full Academic secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",271
"45","full Academic secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","selected","not selected","not selected",4
"46","full Academic secondary school (with matriculation)","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected",3
"47","full Academic secondary school (with matriculation)","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",212
"48","full Academic secondary school (with matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",318
"49","full Academic secondary school (with matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","selected","not selected","not selected",1
"50","full Academic secondary school (with matriculation)","not selected","not selected","not selected","selected","not selected","selected","not selected","not selected","not selected","not selected",2
"51","full Academic secondary school (with matriculation)","not selected","not selected","not selected","selected","selected","not selected","not selected","not selected","not selected","not selected",1
"52","full Academic secondary school (with matriculation)","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",67
"53","full Academic secondary school (with matriculation)","not selected","not selected","selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",3
"54","full Academic secondary school (with matriculation)","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",34
"55","full Academic secondary school (with matriculation)","not selected","selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",2
"56","full Academic secondary school (with matriculation)","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",7
"57","full Academic secondary school (with matriculation)","selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",1
"58","yeshiva secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",2
"59","yeshiva secondary school (no matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",2
"60","yeshiva secondary school (no matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",2
"61","yeshiva secondary school (no matriculation)","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",2
"62","yeshiva secondary school (wih matriculation)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",2
"63","yeshiva secondary school (wih matriculation)","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",1
"64","yeshiva secondary school (wih matriculation)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",3
"65","none","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",2
"66","none","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",141
"67","other type (also abroad)","not selected","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected",7
"68","other type (also abroad)","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",16
"69","other type (also abroad)","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected",5
"70","other type (also abroad)","not selected","not selected","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected",2
"71","other type (also abroad)","not selected","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"72","other type (also abroad)","selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected","not selected",1
"73","don't know","not selected","not selected","not selected","not selected","not selected","not selected","selected","not selected","not selected","not selected",1
"74",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
