"","WALK94","EXCERTOT","count"
"1",0,0,39
"2",0,1,2
"3",0,2,5
"4",0,3,2
"5",0,4,9
"6",0,5,4
"7",0,6,4
"8",0,7,2
"9",0,9,1
"10",0,10,2
"11",0,12,2
"12",0,14,1
"13",0,16,1
"14",0,NA,1
"15",1,0,12
"16",1,1,18
"17",1,2,12
"18",1,3,11
"19",1,4,3
"20",1,5,6
"21",1,6,1
"22",1,7,1
"23",1,8,1
"24",1,14,4
"25",1,NA,3
"26",2,0,16
"27",2,1,5
"28",2,2,19
"29",2,3,8
"30",2,4,7
"31",2,5,3
"32",2,6,8
"33",2,7,3
"34",2,10,3
"35",2,12,2
"36",2,14,1
"37",2,15,1
"38",2,18,1
"39",2,NA,1
"40",3,0,5
"41",3,1,1
"42",3,2,4
"43",3,3,23
"44",3,4,4
"45",3,5,7
"46",3,7,5
"47",3,8,3
"48",3,10,1
"49",3,11,1
"50",3,12,1
"51",3,18,1
"52",3,NA,1
"53",4,0,7
"54",4,2,4
"55",4,3,3
"56",4,4,9
"57",4,6,4
"58",4,7,1
"59",4,8,3
"60",4,9,1
"61",4,10,4
"62",4,15,1
"63",4,16,1
"64",4,18,1
"65",4,NA,1
"66",5,0,4
"67",5,2,5
"68",5,3,1
"69",5,4,5
"70",5,5,7
"71",5,6,2
"72",5,7,1
"73",5,9,1
"74",5,10,3
"75",5,12,1
"76",5,18,1
"77",5,35,1
"78",5,NA,1
"79",6,0,2
"80",6,1,1
"81",6,2,3
"82",6,3,2
"83",6,5,3
"84",6,6,5
"85",6,7,3
"86",6,8,1
"87",6,10,3
"88",6,11,1
"89",6,15,1
"90",6,45,1
"91",6,NA,2
"92",7,0,1
"93",7,1,1
"94",7,3,2
"95",7,4,2
"96",7,6,2
"97",7,7,12
"98",7,10,2
"99",7,12,1
"100",7,14,1
"101",8,1,1
"102",8,5,1
"103",8,8,5
"104",8,10,1
"105",10,4,1
"106",10,6,2
"107",10,7,2
"108",10,8,1
"109",10,10,2
"110",10,20,2
"111",11,10,1
"112",12,12,3
"113",12,15,1
"114",12,27,1
"115",14,4,1
"116",15,1,1
"117",20,4,1
"118",20,20,1
"119",30,3,1
"120",NA,0,45
"121",NA,1,13
"122",NA,2,11
"123",NA,3,14
"124",NA,4,8
"125",NA,5,7
"126",NA,6,5
"127",NA,7,7
"128",NA,8,2
"129",NA,9,1
"130",NA,10,4
"131",NA,21,1
"132",NA,46,1
"133",NA,NA,101
